Productivity module,Prod bonus,Quality module,Qual bonus,E_out,n_p,n_q
T1Q1,0.04,T1Q1,0.010,0.02001087324,0,4
T1Q1,0.04,T1Q2,0.013,0.02237694938,0,4
T1Q1,0.04,T1Q3,0.016,0.02505739434,0,4
T1Q1,0.04,T2Q1,0.020,0.02911500503,0,4
T1Q1,0.04,T2Q2,0.026,0.03622328563,0,4
T1Q1,0.04,T2Q3,0.032,0.04453667951,0,4
T1Q2,0.05,T1Q1,0.010,0.02001087324,0,4
T1Q2,0.05,T1Q2,0.013,0.02237694938,0,4
T1Q2,0.05,T1Q3,0.016,0.02505739434,0,4
T1Q2,0.05,T2Q1,0.020,0.02911500503,0,4
T1Q2,0.05,T2Q2,0.026,0.03622328563,0,4
T1Q2,0.05,T2Q3,0.032,0.04453667951,0,4
T1Q3,0.06,T1Q1,0.010,0.02001087324,0,4
T1Q3,0.06,T1Q2,0.013,0.02237694938,0,4
T1Q3,0.06,T1Q3,0.016,0.02505739434,0,4
T1Q3,0.06,T2Q1,0.020,0.02911500503,0,4
T1Q3,0.06,T2Q2,0.026,0.03622328563,0,4
T1Q3,0.06,T2Q3,0.032,0.04453667951,0,4
T2Q1,0.06,T1Q1,0.010,0.02001087324,0,4
T2Q1,0.06,T1Q2,0.013,0.02237694938,0,4
T2Q1,0.06,T1Q3,0.016,0.02505739434,0,4
T2Q1,0.06,T2Q1,0.020,0.02911500503,0,4
T2Q1,0.06,T2Q2,0.026,0.03622328563,0,4
T2Q1,0.06,T2Q3,0.032,0.04453667951,0,4
T2Q2,0.07,T1Q1,0.010,0.02001087324,0,4
T2Q2,0.07,T1Q2,0.013,0.02237694938,0,4
T2Q2,0.07,T1Q3,0.016,0.02505739434,0,4
T2Q2,0.07,T2Q1,0.020,0.02911500503,0,4
T2Q2,0.07,T2Q2,0.026,0.03622328563,0,4
T2Q2,0.07,T2Q3,0.032,0.04453667951,0,4
T2Q3,0.09,T1Q1,0.010,0.02125379207,3,1
T2Q3,0.09,T1Q2,0.013,0.02237694938,0,4
T2Q3,0.09,T1Q3,0.016,0.02505739434,0,4
T2Q3,0.09,T2Q1,0.020,0.02911500503,0,4
T2Q3,0.09,T2Q2,0.026,0.03622328563,0,4
T2Q3,0.09,T2Q3,0.032,0.04453667951,0,4
